Feature,Sub-task #,Sub-task Name,Human O (h),Human ML (h),Human P (h),Human PERT (h),AI O (h),AI ML (h),AI P (h),AI PERT (h),Risk,Status
Feature 1: Support any positive algebraic expression,5b,Inject algebraic-root equalities into fact, inductive, and query encodings,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,Medium,completed
Feature 1: Support any positive algebraic expression,5c,Preserve original CHC variable positional ordering while inserting roots,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
Feature 1: Support any positive algebraic expression,6a,Update generateRootBounds to consume real algebraic registry entries,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,6b,Extend str_to_expr and evaluateBaseString to resolve _alg_k names,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,6c,Remove dead sqrt-only helper paths and fallback assumptions,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,Medium,not-started
Feature 1: Support any positive algebraic expression,7a,Parse aux_roots before symbolic closed-form generation begins,0.25,0.5,0.7,0.49,0.125,0.25,0.35,0.25,Low,completed
Feature 1: Support any positive algebraic expression,7b,Add a call-order smoke check for the real algebraic pipeline,0.25,0.5,0.7,0.49,0.125,0.25,0.35,0.25,Low,completed
Feature 1: Support any positive algebraic expression,8a,Keep a focused real-algebraic regression using pi1.smt2 and unit tests,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,completed
Feature 1: Support any positive algebraic expression,8b,Expand to a representative bench_horn sweep for real algebraic cases,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,High,not-started
Feature 1: Support any positive algebraic expression,8c,Fix benchmark-specific parsing and encoding bugs found in the sweep,1.5,2.75,4.4,2.82,0.75,1.35,2.2,1.39,High,not-started
Feature 1: Support any positive algebraic expression,8d,Document and script the stable real-algebraic regression set,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,not-started
Feature 2: Support for integers,1,Investigate Polar integer/modulo semantics (write test programs; read program/type/ and poly_assignment.py; document supported subset),2,4,10,4.67,1,2,6,2.50,Medium,not-started
Feature 2: Support for integers,2,Add varIsInt sort-detection in learnInvariants5 (read INT_TY vs REAL_TY from invVars expressions into a map),1,2,4,2.17,0.5,1,2,1.08,Low,not-started
Feature 2: Support for integers,3,Pass sort info to closedforms2.py via --int-vars CLI argument,0.5,1,2,1.08,0.25,0.5,1,0.54,Low,not-started
Feature 2: Support for integers,4,Update sympy_to_pysmt2 to use smt.Symbol(name INT) and smt.Int(n) literals for integer-typed variables,1,2,5,2.33,0.5,1,2.5,1.17,Low,not-started
Feature 2: Support for integers,5,Replace hardcoded bind::realConst with sort-conditional intConst/realConst at ~10 sites in RndLearnerV5.hpp,2,4,8,4.33,1,2,4,2.17,Medium,not-started
Feature 2: Support for integers,6,Update exprToPolarString (add isIntConst check) and str_to_expr (declare Int-sorted vars in inline SMT2),2,4,8,4.33,1,2,4,2.17,Medium,not-started
Feature 2: Support for integers,7,Add integer solver routing in checkCHC2 (LIA/NIA tactic instead of QF_NRA/nlsat when all invVars are integer-sorted),2,4,10,4.67,1,2,5,2.33,High,not-started
Feature 2: Support for integers,8,Regression testing on integer CHC benchmarks and bug fixing,2,6,14,6.67,1,3,8,3.50,High,not-started
Feature 3: Support for loop guards,1,Define guard-conjunct roles and acceptance/rejection rules for generatePolarFile2,1.5,2,4,2.25,0.75,1,2,1.13,Medium,not-started
Feature 3: Support for loop guards,2,Emit comparison operators in exprToPolarString for guard serialization (< <= > >= == /=),1.5,2,4,2.25,0.75,1,2,1.13,Low,not-started
Feature 3: Support for loop guards,3,Emit boolean operators and hard-fail unsupported guard expressions (and or not),1.5,2,4,2.25,0.75,1,2,1.13,Medium,not-started
Feature 3: Support for loop guards,4,Add guard-string smoke tests for representative condition serialization,1,1.5,2.5,1.58,0.5,0.75,1.25,0.79,Low,not-started
Feature 3: Support for loop guards,5,Partition inductive conjuncts into updates guard conditions and structural constraints,2,2.5,4.5,2.75,1,1.25,2.25,1.38,Medium,not-started
Feature 3: Support for loop guards,6,Tighten update-vs-comparison classification and preserve canonical/_INIT naming in guard extraction,1.5,2,4,2.25,0.75,1,2,1.13,Medium,not-started
Feature 3: Support for loop guards,7,Replace hardcoded while true with extracted guard string and reject PHASER-only symbols in the guard,1.5,2,4,2.25,0.75,1,2,1.13,Medium,not-started
Feature 3: Support for loop guards,8,Validate guarded .prob files with a POLAR parser round-trip check,1,1.5,2.5,1.58,0.5,0.75,1.25,0.79,Low,not-started
Feature 3: Support for loop guards,9,Audit inside-loop proof semantics and handle degenerate guards (true false contradictory),1.5,2.5,4,2.58,0.75,1.25,2,1.29,High,not-started
Feature 3: Support for loop guards,10,Classify exit-path queries and preserve negated-guard semantics in query handling,1.5,2.5,4,2.58,0.75,1.25,2,1.29,High,not-started
Feature 3: Support for loop guards,11,Implement the first-cut post-loop proof rule and add focused exit-path benchmark cases,2,2.5,5,2.83,1,1.25,2.5,1.42,High,not-started
Feature 3: Support for loop guards,12,Add regression coverage for guard strings parser acceptance and inside-loop guarded benchmarks,1.5,2.5,4,2.58,0.75,1.25,2,1.29,High,not-started
Feature 3: Support for loop guards,13,Add post-loop regressions and complete the guard-related bug-fix sweep,2,3,5,3.17,1,1.5,2.5,1.58,High,not-started
Feature 2: Support for integers,8,Regression testing on integer CHC benchmarks and bug fixing,2,6,14,6.67,1,3,8,3.50,High,not-started
Feature 1: Support any positive algebraic expression,9a,Encode algebraic constants as coefficient vectors modulo the minimal polynomial,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
Feature 1: Support any positive algebraic expression,9b,Implement multiplication and reduction in the algebraic basis,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,Medium,completed
Feature 1: Support any positive algebraic expression,9c,Reconstruct simplified expressions and hook simplifyAlgExpr into the path,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
Feature 1: Support any positive algebraic expression,10a,Detect conjugate ComplexRootOf pairs during the closed-form scan,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,10b,Compute magnitude polynomials and isolating intervals for complex pairs,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
Feature 1: Support any positive algebraic expression,10c,Persist complex-pair registry metadata for later trig rewriting,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,11a,Rewrite conjugate-pair terms into magnitude/cosine/sine carrier symbols,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,Medium,completed
Feature 1: Support any positive algebraic expression,11b,Rewrite negative real bases as period-2 phase entries,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
Feature 1: Support any positive algebraic expression,11c,Stabilize repeated substitution in the two-pass closed-form rewrite,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,completed
Feature 1: Support any positive algebraic expression,11d,Finalize the complex_pairs payload contract for the downstream consumer,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,High,not-started
Feature 1: Support any positive algebraic expression,12a,Define ComplexPairEntry storage for magnitude and phase metadata,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,not-started
Feature 1: Support any positive algebraic expression,12b,Parse magnitude polynomial and interval data from complex_pairs JSON,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,not-started
Feature 1: Support any positive algebraic expression,12c,Parse cosine/sine metadata and validate the three-carrier layout,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,not-started
Feature 1: Support any positive algebraic expression,13a,Allocate magnitude/cosine/sine CHC carrier variables in stable order,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,not-started
Feature 1: Support any positive algebraic expression,13b,Inject fact-side complex-pair equalities and magnitude constraints,1.25,2.25,3.6,2.31,0.75,1.15,2,1.22,High,not-started
Feature 1: Support any positive algebraic expression,13c,Inject inductive and query transitions for trig recurrence updates,1.5,2.75,4.4,2.82,0.75,1.35,2.2,1.39,High,not-started
Feature 1: Support any positive algebraic expression,13d,Add periodicity lemmas and soundness guards for phase terms,1.25,2.25,3.6,2.31,0.75,1.15,2,1.22,High,not-started
Feature 1: Support any positive algebraic expression,14a,Generate numeric bounds for magnitude carriers from complex-pair metadata,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,not-started
Feature 1: Support any positive algebraic expression,14b,Extend SMT declarations and string parsing for magnitude/cosine/sine symbols,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,not-started
Feature 1: Support any positive algebraic expression,14c,Extend numeric base evaluation lookup for complex-pair carrier names,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,not-started
Feature 1: Support any positive algebraic expression,15a,Parse complex_pairs before symbolic closed-form generation begins,0.25,0.5,0.7,0.49,0.125,0.25,0.35,0.25,Low,not-started
Feature 1: Support any positive algebraic expression,15b,Add a call-order smoke check for mixed aux_roots and complex_pairs input,0.25,0.5,0.7,0.49,0.125,0.25,0.35,0.25,Low,not-started
Feature 1: Support any positive algebraic expression,16a,Add focused unit tests for complex-pair helper routines,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,not-started
Feature 1: Support any positive algebraic expression,16b,Add end-to-end regression on pi1.smt2 and representative complex benchmarks,1,1.75,2.8,1.80,0.5,0.9,1.4,0.92,High,not-started
Feature 1: Support any positive algebraic expression,16c,Fix consumer bugs surfaced by complex benchmark runs,1.5,2.75,4.4,2.82,0.75,1.35,2.2,1.39,High,not-started
Feature 1: Support any positive algebraic expression,16d,Expand the regression set and document expected complex-root behavior,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Medium,not-started
Feature 4: Input variable,1,Split the current _INIT flow into InputVarRegistry plus separate POLAR-only and CHC-constant paths,3,5,8,5.17,1.5,2.5,4,2.58,High,not-started
Feature 4: Input variable,2,Scan the inductive CHC body for primed-input bounded non-deterministic patterns,2,3,5,3.17,1,1.5,2.5,1.58,Medium,not-started
Feature 4: Input variable,3,Exclude identity-transition vars record per-input metadata and reject mixed or multi-input constraints,2,3,5,3.17,1,1.5,2.5,1.58,Medium,not-started
Feature 4: Input variable,4,Normalize supported inequalities into state-independent lower/upper interval bounds and require both endpoints,3,4,7,4.33,1.5,2,3.5,2.17,Medium,not-started
Feature 4: Input variable,5,Route inputs through POLAR symbolic parameters without CHC const-ification,2,3,5,3.17,1,1.5,2.5,1.58,Medium,not-started
Feature 4: Input variable,6,Guard against accidental materialization through init-var helpers while preserving original CHC vars,1.5,2.5,4,2.58,0.75,1.25,2,1.29,Medium,not-started
Feature 4: Input variable,7,Decompose closed forms into constant and affine per-input coefficient terms in closedforms2.py,4,6,10,6.33,2,3,5,3.17,High,not-started
Feature 4: Input variable,8,Emit input_coeffs JSON and add affine-only validation examples for known interval-bounded recurrences,2,3,5,3.17,1,1.5,2.5,1.58,Medium,not-started
Feature 4: Input variable,9,Implement interval-endpoint worst-case optimization and a sign-uncertain fallback,4,6,10,6.33,2,3,5,3.17,High,not-started
Feature 4: Input variable,10,Generate numeric CHC lemmas that combine homogeneous root bounds with interval-derived input bounds,4,7,11,7.17,2,3.5,5.5,3.58,High,not-started
Feature 4: Input variable,11,Preserve bounded non-determinism in CHC/query/fact handling and narrow _INIT assumptions,3,5,8,5.17,1.5,2.5,4,2.58,High,not-started
Feature 4: Input variable,12,Add interval-only classification regressions for fixed constants true inputs and unsupported mixed constraints,1,2,3.5,2.08,0.5,0.75,1.25,0.79,Medium,not-started
Feature 4: Input variable,13,Add instability/no-proof regressions for interval-bounded input cases,1.5,2,4,2.25,0.75,1.25,2,1.29,High,not-started
Feature 4: Input variable,14,Complete the input-related bug-fix sweep and rerun the narrowed regression set,2,3,5,3.17,1,1.75,2.75,1.79,High,not-started
